"year","variable","value","version"
2014,"CH4N",177.6952933,"3.5.0"
2014,"N2O_natural_emissions",10.17019203,"3.5.0"
2015,"CH4N",186.783642,"3.5.0"
2015,"N2O_natural_emissions",10.77839769,"3.5.0"
2015,"CH4N",187.3449724,"3.5.0"
2015,"N2O_natural_emissions",9.353423931,"3.5.0"
2016,"CH4N",187.3449724,"3.5.0"
2016,"N2O_natural_emissions",9.352241798,"3.5.0"
2017,"CH4N",187.3449724,"3.5.0"
2017,"N2O_natural_emissions",9.352241798,"3.5.0"
2018,"CH4N",187.3449724,"3.5.0"
2018,"N2O_natural_emissions",9.352241798,"3.5.0"
2019,"CH4N",187.3449724,"3.5.0"
2019,"N2O_natural_emissions",9.352241798,"3.5.0"
2020,"CH4N",187.3449724,"3.5.0"
2020,"N2O_natural_emissions",9.352241798,"3.5.0"
2021,"CH4N",187.3449724,"3.5.0"
2021,"N2O_natural_emissions",9.352241798,"3.5.0"
2022,"CH4N",187.3449724,"3.5.0"
2022,"N2O_natural_emissions",9.352241798,"3.5.0"
2023,"CH4N",187.3449724,"3.5.0"
2023,"N2O_natural_emissions",9.352241798,"3.5.0"
2024,"CH4N",187.3449724,"3.5.0"
2024,"N2O_natural_emissions",9.352241798,"3.5.0"
2025,"CH4N",187.3449724,"3.5.0"
2025,"N2O_natural_emissions",9.352241798,"3.5.0"
2026,"CH4N",187.3449724,"3.5.0"
2026,"N2O_natural_emissions",9.352241798,"3.5.0"
2027,"CH4N",187.3449724,"3.5.0"
2027,"N2O_natural_emissions",9.352241798,"3.5.0"
2028,"CH4N",187.3449724,"3.5.0"
2028,"N2O_natural_emissions",9.352241798,"3.5.0"
2029,"CH4N",187.3449724,"3.5.0"
2029,"N2O_natural_emissions",9.352241798,"3.5.0"
2030,"CH4N",187.3449724,"3.5.0"
2030,"N2O_natural_emissions",9.352241798,"3.5.0"
2031,"CH4N",187.3449724,"3.5.0"
2031,"N2O_natural_emissions",9.352241798,"3.5.0"
2032,"CH4N",187.3449724,"3.5.0"
2032,"N2O_natural_emissions",9.352241798,"3.5.0"
2033,"CH4N",187.3449724,"3.5.0"
2033,"N2O_natural_emissions",9.352241798,"3.5.0"
2034,"CH4N",187.3449724,"3.5.0"
2034,"N2O_natural_emissions",9.352241798,"3.5.0"
2035,"CH4N",187.3449724,"3.5.0"
2035,"N2O_natural_emissions",9.352241798,"3.5.0"
2036,"CH4N",187.3449724,"3.5.0"
2036,"N2O_natural_emissions",9.352241798,"3.5.0"
2037,"CH4N",187.3449724,"3.5.0"
2037,"N2O_natural_emissions",9.352241798,"3.5.0"
2038,"CH4N",187.3449724,"3.5.0"
2038,"N2O_natural_emissions",9.352241798,"3.5.0"
2039,"CH4N",187.3449724,"3.5.0"
2039,"N2O_natural_emissions",9.352241798,"3.5.0"
2040,"CH4N",187.3449724,"3.5.0"
2040,"N2O_natural_emissions",9.352241798,"3.5.0"
2041,"CH4N",187.3449724,"3.5.0"
2041,"N2O_natural_emissions",9.352241798,"3.5.0"
2042,"CH4N",187.3449724,"3.5.0"
2042,"N2O_natural_emissions",9.352241798,"3.5.0"
2043,"CH4N",187.3449724,"3.5.0"
2043,"N2O_natural_emissions",9.352241798,"3.5.0"
2044,"CH4N",187.3449724,"3.5.0"
2044,"N2O_natural_emissions",9.352241798,"3.5.0"
2045,"CH4N",187.3449724,"3.5.0"
2045,"N2O_natural_emissions",9.352241798,"3.5.0"
2046,"CH4N",187.3449724,"3.5.0"
2046,"N2O_natural_emissions",9.352241798,"3.5.0"
2047,"CH4N",187.3449724,"3.5.0"
2047,"N2O_natural_emissions",9.352241798,"3.5.0"
2048,"CH4N",187.3449724,"3.5.0"
2048,"N2O_natural_emissions",9.352241798,"3.5.0"
2049,"CH4N",187.3449724,"3.5.0"
2049,"N2O_natural_emissions",9.352241798,"3.5.0"
2050,"CH4N",187.3449724,"3.5.0"
2050,"N2O_natural_emissions",9.352241798,"3.5.0"
2051,"CH4N",187.3449724,"3.5.0"
2051,"N2O_natural_emissions",9.352241798,"3.5.0"
2052,"CH4N",187.3449724,"3.5.0"
2052,"N2O_natural_emissions",9.352241798,"3.5.0"
2053,"CH4N",187.3449724,"3.5.0"
2053,"N2O_natural_emissions",9.352241798,"3.5.0"
2054,"CH4N",187.3449724,"3.5.0"
2054,"N2O_natural_emissions",9.352241798,"3.5.0"
2055,"CH4N",187.3449724,"3.5.0"
2055,"N2O_natural_emissions",9.352241798,"3.5.0"
2056,"CH4N",187.3449724,"3.5.0"
2056,"N2O_natural_emissions",9.352241798,"3.5.0"
2057,"CH4N",187.3449724,"3.5.0"
2057,"N2O_natural_emissions",9.352241798,"3.5.0"
2058,"CH4N",187.3449724,"3.5.0"
2058,"N2O_natural_emissions",9.352241798,"3.5.0"
2059,"CH4N",187.3449724,"3.5.0"
2059,"N2O_natural_emissions",9.352241798,"3.5.0"
2060,"CH4N",187.3449724,"3.5.0"
2060,"N2O_natural_emissions",9.352241798,"3.5.0"
2061,"CH4N",187.3449724,"3.5.0"
2061,"N2O_natural_emissions",9.352241798,"3.5.0"
2062,"CH4N",187.3449724,"3.5.0"
2062,"N2O_natural_emissions",9.352241798,"3.5.0"
2063,"CH4N",187.3449724,"3.5.0"
2063,"N2O_natural_emissions",9.352241798,"3.5.0"
2064,"CH4N",187.3449724,"3.5.0"
2064,"N2O_natural_emissions",9.352241798,"3.5.0"
2065,"CH4N",187.3449724,"3.5.0"
2065,"N2O_natural_emissions",9.352241798,"3.5.0"
2066,"CH4N",187.3449724,"3.5.0"
2066,"N2O_natural_emissions",9.352241798,"3.5.0"
2067,"CH4N",187.3449724,"3.5.0"
2067,"N2O_natural_emissions",9.352241798,"3.5.0"
2068,"CH4N",187.3449724,"3.5.0"
2068,"N2O_natural_emissions",9.352241798,"3.5.0"
2069,"CH4N",187.3449724,"3.5.0"
2069,"N2O_natural_emissions",9.352241798,"3.5.0"
2070,"CH4N",187.3449724,"3.5.0"
2070,"N2O_natural_emissions",9.352241798,"3.5.0"
2071,"CH4N",187.3449724,"3.5.0"
2071,"N2O_natural_emissions",9.352241798,"3.5.0"
2072,"CH4N",187.3449724,"3.5.0"
2072,"N2O_natural_emissions",9.352241798,"3.5.0"
2073,"CH4N",187.3449724,"3.5.0"
2073,"N2O_natural_emissions",9.352241798,"3.5.0"
2074,"CH4N",187.3449724,"3.5.0"
2074,"N2O_natural_emissions",9.352241798,"3.5.0"
2075,"CH4N",187.3449724,"3.5.0"
2075,"N2O_natural_emissions",9.352241798,"3.5.0"
2076,"CH4N",187.3449724,"3.5.0"
2076,"N2O_natural_emissions",9.352241798,"3.5.0"
2077,"CH4N",187.3449724,"3.5.0"
2077,"N2O_natural_emissions",9.352241798,"3.5.0"
2078,"CH4N",187.3449724,"3.5.0"
2078,"N2O_natural_emissions",9.352241798,"3.5.0"
2079,"CH4N",187.3449724,"3.5.0"
2079,"N2O_natural_emissions",9.352241798,"3.5.0"
2080,"CH4N",187.3449724,"3.5.0"
2080,"N2O_natural_emissions",9.352241798,"3.5.0"
2081,"CH4N",187.3449724,"3.5.0"
2081,"N2O_natural_emissions",9.352241798,"3.5.0"
2082,"CH4N",187.3449724,"3.5.0"
2082,"N2O_natural_emissions",9.352241798,"3.5.0"
2083,"CH4N",187.3449724,"3.5.0"
2083,"N2O_natural_emissions",9.352241798,"3.5.0"
2084,"CH4N",187.3449724,"3.5.0"
2084,"N2O_natural_emissions",9.352241798,"3.5.0"
2085,"CH4N",187.3449724,"3.5.0"
2085,"N2O_natural_emissions",9.352241798,"3.5.0"
2086,"CH4N",187.3449724,"3.5.0"
2086,"N2O_natural_emissions",9.352241798,"3.5.0"
2087,"CH4N",187.3449724,"3.5.0"
2087,"N2O_natural_emissions",9.352241798,"3.5.0"
2088,"CH4N",187.3449724,"3.5.0"
2088,"N2O_natural_emissions",9.352241798,"3.5.0"
2089,"CH4N",187.3449724,"3.5.0"
2089,"N2O_natural_emissions",9.352241798,"3.5.0"
2090,"CH4N",187.3449724,"3.5.0"
2090,"N2O_natural_emissions",9.352241798,"3.5.0"
2091,"CH4N",187.3449724,"3.5.0"
2091,"N2O_natural_emissions",9.352241798,"3.5.0"
2092,"CH4N",187.3449724,"3.5.0"
2092,"N2O_natural_emissions",9.352241798,"3.5.0"
2093,"CH4N",187.3449724,"3.5.0"
2093,"N2O_natural_emissions",9.352241798,"3.5.0"
2094,"CH4N",187.3449724,"3.5.0"
2094,"N2O_natural_emissions",9.352241798,"3.5.0"
2095,"CH4N",187.3449724,"3.5.0"
2095,"N2O_natural_emissions",9.352241798,"3.5.0"
2096,"CH4N",187.3449724,"3.5.0"
2096,"N2O_natural_emissions",9.352241798,"3.5.0"
2097,"CH4N",187.3449724,"3.5.0"
2097,"N2O_natural_emissions",9.352241798,"3.5.0"
2098,"CH4N",187.3449724,"3.5.0"
2098,"N2O_natural_emissions",9.352241798,"3.5.0"
2099,"CH4N",187.3449724,"3.5.0"
2099,"N2O_natural_emissions",9.352241798,"3.5.0"
2100,"CH4N",187.3449724,"3.5.0"
2100,"N2O_natural_emissions",9.352241798,"3.5.0"
2300,"CH4N",187.3449724,"3.5.0"
2300,"N2O_natural_emissions",9.352241798,"3.5.0"
